=== svc_c0_0.st
  00 chr  9/10 hp 42/48 y1=128 | P1 scr= 32 wld= 94 | P2 scr= 90 wld=152 | cam  62/ 62 | P1scr-P2scr= -58 P1wld-P2wld= -58
  01 chr  9/10 hp 42/48 y1=128 | P1 scr= 75 wld=137 | P2 scr= 93 wld=155 | cam  62/ 62 | P1scr-P2scr= -18 P1wld-P2wld= -18
  02 chr  9/10 hp 42/48 y1=128 | P1 scr= 79 wld=141 | P2 scr= 96 wld=158 | cam  62/ 62 | P1scr-P2scr= -17 P1wld-P2wld= -17
  03 chr  9/10 hp 42/48 y1=128 | P1 scr= 74 wld=136 | P2 scr= 96 wld=158 | cam  62/ 62 | P1scr-P2scr= -22 P1wld-P2wld= -22
  04 chr  9/10 hp 40/48 y1=128 | P1 scr= 65 wld=127 | P2 scr= 96 wld=158 | cam  62/ 62 | P1scr-P2scr= -31 P1wld-P2wld= -31
  05 chr  9/10 hp 39/48 y1=128 | P1 scr= 63 wld=125 | P2 scr=102 wld=164 | cam  62/ 62 | P1scr-P2scr= -39 P1wld-P2wld= -39
  06 chr  9/10 hp 39/48 y1=128 | P1 scr= 70 wld=132 | P2 scr=113 wld=175 | cam  62/ 62 | P1scr-P2scr= -43 P1wld-P2wld= -43
  07 chr  9/10 hp 39/48 y1=128 | P1 scr= 63 wld=125 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -49 P1wld-P2wld= -49
  08 chr  9/10 hp 39/48 y1=128 | P1 scr= 60 wld=122 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -52 P1wld-P2wld= -52
  09 chr  9/10 hp 39/48 y1=128 | P1 scr= 60 wld=122 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -52 P1wld-P2wld= -52
  10 chr  9/10 hp 39/48 y1= 90 | P1 scr= 60 wld=122 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -52 P1wld-P2wld= -52
  11 chr  9/10 hp 39/48 y1=128 | P1 scr= 60 wld=122 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -52 P1wld-P2wld= -52
  12 chr  9/10 hp 39/48 y1=128 | P1 scr= 60 wld=122 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -52 P1wld-P2wld= -52
  13 chr  9/10 hp 39/48 y1=128 | P1 scr=103 wld=165 | P2 scr=100 wld=162 | cam  62/ 62 | P1scr-P2scr=  +3 P1wld-P2wld=  +3
  14 chr  9/10 hp 39/48 y1=128 | P1 scr=122 wld=184 | P2 scr= 90 wld=152 | cam  62/ 62 | P1scr-P2scr= +32 P1wld-P2wld= +32
  15 chr  9/10 hp 33/48 y1=128 | P1 scr=128 wld=191 | P2 scr= 74 wld=137 | cam  63/ 63 | P1scr-P2scr= +54 P1wld-P2wld= +54
